cust,monthly_bill,qty,size,weekly_yards,commodity,pickups,bin_amount,tax_body,biz_type
9368,1638.21,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
9376,1185.33,1,6,6,Recycle,1,730.46,S,RESTAURANT
9376,1185.33,1,4,4,Compost,1,454.87,S,RESTAURANT
9481,1601.16,1,4,8,Garbage,2,1526.16,Y,RESTAURANT
9481,1601.16,1,4,8,Garbage,2,1526.16,Y,RESTAURANT
9481,1601.16,1,0.48,0.48,Recycle,1,0,Y,RESTAURANT
9481,1601.16,1,0.48,0.48,Recycle,1,0,Y,RESTAURANT
9481,1601.16,1,0.48,0.48,Recycle,1,0,Y,RESTAURANT
9481,1601.16,1,4,8,Recycle,2,75,Y,RESTAURANT
9481,1601.16,1,4,8,Recycle,2,75,Y,RESTAURANT
9784,134.57,1,0.48,0.48,Compost,1,0,COUNTY,VINEYARD
9784,134.57,1,0.48,0.48,Recycle,1,0,COUNTY,VINEYARD
9819,32.62,1,0.48,0.48,Recycle,1,0,S,RETAIL
9846,97.87,1,0.48,0.48,Recycle,1,0,S,COMMUNITY
9850,253.08,1,0.48,0.48,Recycle,1,0,Y,RETAIL
9850,253.08,1,0.48,0.48,Recycle,1,75.92,Y,RETAIL
9850,253.08,1,0.48,0.48,Recycle,1,75.92,Y,RETAIL
9867,696.01,1,4,4,Garbage,1,696.01,S,
9906,1005.67,1,4,4,Garbage,1,1005.67,COUNTY,CONTRACTOR
9910,44.86,1,0.48,0.48,Recycle,1,0,COUNTY,POSTOFFICE
9920,2317.12,1,2,4,Garbage,2,793.4,C,MULTIFAMIL
9920,2317.12,1,2,4,Garbage,2,793.4,C,MULTIFAMIL
9920,2317.12,4,0.48,1.92,Recycle,1,0,C,MULTIFAMIL
9920,2317.12,1,4,8,Garbage,2,1523.72,C,MULTIFAMIL
9920,2317.12,1,4,8,Garbage,2,1523.72,C,MULTIFAMIL
9920,2317.12,1,0.48,0.48,Compost,1,0,C,MULTIFAMIL
9928,269.14,1,0.48,0.48,Recycle,1,0,COUNTY,CHURCH
9928,269.14,1,0.48,0.48,Compost,1,0,COUNTY,CHURCH
9929,1627.98,2,2,8,Garbage,2,813.99,C,LODGING
9929,1627.98,2,2,8,Garbage,2,813.99,C,LODGING
9964,276.77,1,0.48,0.48,Recycle,1,0,C,MEDICAL
9964,276.77,1,0.48,0.48,Compost,1,0,C,MEDICAL
9964,276.77,1,0.48,0.48,Compost,1,68.91,C,MEDICAL
9992,6639.69,1,6,18,Garbage,3,4264,COUNTY,
9992,6639.69,1,6,18,Garbage,3,4264,COUNTY,
9992,6639.69,1,6,18,Garbage,3,4264,COUNTY,
9992,6639.69,1,6,12,Recycle,2,2150.69,COUNTY,
9992,6639.69,1,6,12,Recycle,2,2150.69,COUNTY,
9992,6639.69,1,6,18,Recycle,3,75,COUNTY,
9992,6639.69,1,6,18,Recycle,3,75,COUNTY,
9992,6639.69,1,6,18,Recycle,3,75,COUNTY,
9992,6639.69,2,0.48,0.96,Recycle,1,0,COUNTY,
9992,6639.69,1,0.48,0.48,Recycle,1,0,COUNTY,
9992,6639.69,1,0.48,0.48,Recycle,1,0,COUNTY,
10065,2816.91,1,6,6,Garbage,1,1298.25,COUNTY,WINERY
10065,2816.91,1,4,4,Recycle,1,667.81,COUNTY,WINERY
10065,2816.91,1,4,4,Recycle,1,667.81,COUNTY,WINERY
10065,2816.91,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
10065,2816.91,2,0.48,0.96,Compost,1,91.52,COUNTY,WINERY
10067,5246.71,1,6,6,Recycle,1,1103.36,COUNTY,WINERY
10067,5246.71,1,6,6,Recycle,1,1103.36,COUNTY,WINERY
10067,5246.71,1,6,6,Recycle,1,1103.36,COUNTY,WINERY
10067,5246.71,1,4,8,Garbage,2,1936.63,COUNTY,WINERY
10067,5246.71,1,4,8,Garbage,2,1936.63,COUNTY,WINERY
10071,3322.57,1,6,6,Garbage,1,1644.35,COUNTY,WINERY
