COMPANY,CUST #,CYCLE,ROUTE,DAY,RTE SEQ#,QTY,SIZE,CHG CODE,FREQ,SCHEDULE,BIN #,P/U#,BIN AMT$,TAX BODY,VAR3,VAR4,FEE CODE,PRICE LIST
1,8141,CA,64,WED,3835,1,96,CR, ,--W----,3,1,0,AC,WINERY,,,CO
1,8141,CA,64,WED,3840,1,96,CR, ,--W----,4,1,0,AC,WINERY,,,CO
1,8141,CA,85,WED,3890,1,  ,0G, ,--W----,5,1,0,AC,WINERY,,,CO
1,8212,CA,28,TUE,2100,6,CT,3, ,-T-----,1,1,32.62,S,MULTIFAMIL,,,S
1,8212,CA,62,TUE,6310,6,96,CR, ,-T-----,2,1,0,S,MULTIFAMIL,,,S
1,8212,CA,62,TUE,6310,1,96,AR, ,-T-----,3,1,73.41,S,MULTIFAMIL,,,S
1,8212,CA,85,TUE,3285,3,96,CG, ,-T-----,4,1,0,S,MULTIFAMIL,,,S
1,8213,CA,28,TUE,2080,1,CT,3, ,-T-----,1,1,32.62,S,DUPLEX,,,S
1,8213,CA,28,TUE,2090,1,CT,3, ,-T-----,2,1,32.62,S,DUPLEX,,,S
1,8213,CA,62,TUE,6300,1,96,CR, ,-T-----,3,1,0,S,DUPLEX,,,S
1,8213,CA,62,TUE,6300,1,96,CR, ,-T-----,4,1,0,S,DUPLEX,,,S
1,8213,CA,85,TUE,3280,1,96,CG, ,-T-----,5,1,0,S,DUPLEX,,,S
1,8327,CA,21,WED,1940,1,CT,6, ,--W----,1,1,89.71,AC,WINERY,,,CO
1,8327,CA,62,WED,2960,1,96,CR, ,--W----,2,1,0,AC,WINERY,,,CO
1,8327,CA,62,WED,2970,1,96,CG, ,--W----,3,1,0,AC,WINERY,,,CO
1,8626,CA,28,MON,1830,1,CT,6, ,M------,1,1,89.71,YC,WINERY,,,CO
1,8626,CA,64,MON,725,1,96,CR, ,M------,2,1,0,YC,WINERY,,,CO
1,8626,CA,85,MON,2720,1,96,CG, ,M------,3,1,0,YC,WINERY,,,CO
1,8657,CA,21,TUE,1910,1,CT,9, ,-T-----,1,1,97.87,S,RESTAURANT,,,S
1,8657,CA,64,TUE,900,2,96,CR, ,-T-----,2,1,0,S,RESTAURANT,,,S
1,8688,CA,28,WED,3980,2,CT,9, ,--W----,1,1,134.57,AC,,,,CO
1,8688,CA,64,WED,2900,2,96,CR, ,--W----,2,1,0,AC,,,,CO
1,8688,CA,85,WED,1950,1,96,CG, ,--W----,3,1,0,AC,,,,CO
1,8747,CA,23,MON,350,1,2Y,T0, ,M------,1,1,482.56,SC,WINERY,,,CO
1,8747,CA,65,WED,30,1,96,CR, ,--W----,2,1,0,SC,WINERY,,,CO
1,8747,CA,65,WED,40,1,96,CR, ,--W----,3,1,0,SC,WINERY,,,CO
1,8747,CA,65,WED,50,1,96,CR, ,--W----,4,1,0,SC,WINERY,,,CO
1,8747,CA,65,WED,60,1,96,AR, ,--W----,5,1,100.93,SC,WINERY,,,CO
1,8747,CA,85,WED,15,1,96,CG, ,--W----,6,1,0,SC,WINERY,,,CO
1,8758,CA,64,MON,795,1,96,CR, ,M------,1,1,0,YC,WINERY,,,CO
1,8758,CA,64,MON,800,1,96,CR, ,M------,2,1,0,YC,WINERY,,,CO
1,8758,CA,64,MON,805,1,96,CR, ,M------,3,1,0,YC,WINERY,,,CO
1,8758,CA,46,MON,0,1,4Y,T1,B,M------,4,1,1005.67,YC,WINERY,,,CO
1,8758,CA,    ,UNR,0,1,4Y,CB, ,-------,5,0,75,YC,WINERY,,,CO
1,8758,CA,    ,UNR,0,1,SH,TF, ,-------,6,0,125,YC,WINERY,,,CO
1,8800,CA,25,THU,2690,1,CT,9, ,---H---,1,1,101.34,CL,MULTIFAMIL,,,CL
1,8800,CA,65,THU,2910,1,96,CR, ,---H---,2,1,0,CL,MULTIFAMIL,,,CL
1,8800,CA,25,THU,2710,1,CT,9, ,---H---,3,1,101.34,CL,MULTIFAMIL,,,CL
1,8800,CA,25,THU,2700,1,CT,9, ,---H---,4,1,101.34,CL,MULTIFAMIL,,,CL
