CO,CUST#,TAX BODY,CYCLE,MTH$,BAL DUE,UNAPPLIED,CURRENT,30+,60+,90+,V3  BIZ TYPE,V4  SB1383,MTD,YTD,SALES ID,START DT,STOP DT,BILLING STR DT,ACT CD,FEE CODE,PRICE LIST,CREDIT LIMIT
1,22196,S     ,CA,172.87,172.87,,172.87,0,0,0,,,0,1189.36,,7/30/1996,,,,,S,
1,22199,YC    ,TA,0,335.25,,335.25,0,0,0,,,0,6276.61,,10/27/2015,,10/27/2015,,,CO,
1,22345,YC    ,PA,0,0,,0,0,0,0,,,0,0,,6/20/2018,,6/20/2018,,,CO,
1,22383,C     ,CA,514.46,514.46,,514.46,0,0,0,,,0,4915.97,,8/29/1996,,,,,C,
1,22435,S     ,CA,2963.86,3428.86,,3428.86,0,0,0,,,0,23693.01,,5/19/2017,,5/19/2017,,,S,
1,22498,Y     ,CA,303.72,0,,0,0,0,0,,,0,2759.82,,6/5/2017,,,,,Y,
1,22510,S     ,CA,106.03,0,,0,0,0,0,,,0,852.88,,6/13/2017,,6/13/2017,,,S,
1,22521,S     ,CA,363.91,363.91,,363.91,0,0,0,,,0,3306.82,,6/6/2017,,,,,S,
1,22629,S     ,CA,559.92,559.92,,559.92,0,0,0,,,0,5657.6,,6/28/2017,,6/28/2017,,,S,
1,22630,S     ,CA,97.87,97.87,,97.87,0,0,0,,,0,889.36,,5/19/1999,,,,,S,
1,22654,S     ,CA,97.87,0,,0,0,0,0,,,0,889.36,,6/27/2017,,6/27/2017,,,S,
1,22711,SC    ,CA,1298.25,0,,0,0,0,0,,,0,11797.08,,6/30/2017,,6/30/2017,,,CO,
1,22754,CC    ,CA,482.56,0,,0,0,0,0,,,0,4620.22,,7/6/2017,,,,,CO,
1,22769,C     ,MA,228,0,,0,0,0,0,,,0,0,,7/6/2017,,7/6/2017,,,C,
1,22784,S     ,CA,97.87,0,,0,0,0,0,,,0,889.36,,7/18/2017,,7/18/2017,,,S,
1,22786,SC    ,CA,890.4,890.4,,890.4,0,0,0,,,0,8091,,7/21/2017,,7/21/2017,,,CO,
1,22789,CL    ,CA,506.7,506.7,,506.7,0,0,0,,,0,4604.4,,11/7/1996,,11/7/1996,,,CL,
1,22858,C     ,CA,311.79,0,,0,0,0,0,,,0,2833.14,,8/10/2017,,8/10/2017,,,C,
1,22896,SC    ,TA,0,0,,0,0,0,0,,,0,1520.07,,10/28/2021,,10/28/2021,,,CO,
