cust,monthly_bill,tax_body,biz_type,compost,garbage,recycle,total_yards,do_they_recycle,do_they_compost,needed_recycle,needed_compost
10144,608.04,C,MULTIFAMIL,1.44,1.44,1.44,4.32,Yes,Yes,1.44,1.44
10144,608.04,C,MULTIFAMIL,1.44,1.44,1.44,4.32,Yes,Yes,1.44,1.44
10145,6451.98,C,MOBILEHOME,89.28,30.080000000000002,85.44,204.8,Yes,Yes,85.44,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.080000000000002,85.44,204.8,Yes,Yes,85.44,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.080000000000002,85.44,204.8,Yes,Yes,85.44,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.080000000000002,85.44,204.8,Yes,Yes,85.44,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.080000000000002,85.44,204.8,Yes,Yes,85.44,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.080000000000002,85.44,204.8,Yes,Yes,85.44,89.28
10154,2398.21,C,LODGING,0,12,1.44,13.44,Yes,No,1.44,
10154,2398.21,C,LODGING,0,12,1.44,13.44,Yes,No,1.44,
10161,140.51,C,OFFICE BLD,0,0.48,0.48,0.96,Yes,No,0.48,
10161,140.51,C,OFFICE BLD,0,0.48,0.48,0.96,Yes,No,0.48,
10174,439.46,C,RETAIL,0,2,0.48,2.48,Yes,No,0.48,
10174,439.46,C,RETAIL,0,2,0.48,2.48,Yes,No,0.48,
10185,65.25,S,ENTERTAINM,0,0.32,0.48,0.8,Yes,No,0.48,
10185,65.25,S,ENTERTAINM,0,0.32,0.48,0.8,Yes,No,0.48,
10209,255.93,C,POSTOFFICE,0.48,0.48,1.44,2.4,Yes,Yes,1.44,0.48
10209,255.93,C,POSTOFFICE,0.48,0.48,1.44,2.4,Yes,Yes,1.44,0.48
10209,255.93,C,POSTOFFICE,0.48,0.48,1.44,2.4,Yes,Yes,1.44,0.48
10209,255.93,C,POSTOFFICE,0.48,0.48,1.44,2.4,Yes,Yes,1.44,0.48
10222,138.56,C,OFFICE BLD,0,0.32,0,0.32,No,No,,
10224,882.9,C,LODGING,0.48,4,0,4.48,No,Yes,,0.48
10224,882.9,C,LODGING,0.48,4,0,4.48,No,Yes,,0.48
10227,69.28,C,MEDICAL,0,0.32,0,0.32,No,No,,
10233,4931.88,C,MOBILEHOME,1.44,23.36,70.08,94.88,Yes,Yes,70.08,1.44
10233,4931.88,C,MOBILEHOME,1.44,23.36,70.08,94.88,Yes,Yes,70.08,1.44
10233,4931.88,C,MOBILEHOME,1.44,23.36,70.08,94.88,Yes,Yes,70.08,1.44
10238,67.56,C,MULTIFAMIL,0,0.32,0,0.32,No,No,,
10247,3008.71,C,GROCERY,4.800000000000001,24,4.48,33.28,Yes,Yes,4.48,4.800000000000001
10247,3008.71,C,GROCERY,4.800000000000001,24,4.48,33.28,Yes,Yes,4.48,4.800000000000001
10247,3008.71,C,GROCERY,4.800000000000001,24,4.48,33.28,Yes,Yes,4.48,4.800000000000001
10247,3008.71,C,GROCERY,4.800000000000001,24,4.48,33.28,Yes,Yes,4.48,4.800000000000001
10247,3008.71,C,GROCERY,4.800000000000001,24,4.48,33.28,Yes,Yes,4.48,4.800000000000001
10248,743.93,S,AUTO,0,4,6.48,10.48,Yes,No,6.48,
10248,743.93,S,AUTO,0,4,6.48,10.48,Yes,No,6.48,
10248,743.93,S,AUTO,0,4,6.48,10.48,Yes,No,6.48,
10250,2035.83,S,LODGING-FW,1.44,12,1.44,14.879999999999999,Yes,Yes,1.44,1.44
10250,2035.83,S,LODGING-FW,1.44,12,1.44,14.879999999999999,Yes,Yes,1.44,1.44
10250,2035.83,S,LODGING-FW,1.44,12,1.44,14.879999999999999,Yes,Yes,1.44,1.44
10250,2035.83,S,LODGING-FW,1.44,12,1.44,14.879999999999999,Yes,Yes,1.44,1.44
10255,4567.25,COUNTY,WINERY,0,12,6,18,Yes,No,6,
10255,4567.25,COUNTY,WINERY,0,12,6,18,Yes,No,6,
10257,97.87,S,AUTO,0,0.48,0,0.48,No,No,,
10260,69.28,C,OFFICE BLD,0.48,0.32,0,0.8,No,Yes,,0.48
10260,69.28,C,OFFICE BLD,0.48,0.32,0,0.8,No,Yes,,0.48
10263,1278.97,S,RESTAURANT,0,8,0,8,No,No,,
10265,6347.58,S,GROCERY,9.600000000000001,36,41.44,87.03999999999999,Yes,Yes,41.44,9.600000000000001
10265,6347.58,S,GROCERY,9.600000000000001,36,41.44,87.03999999999999,Yes,Yes,41.44,9.600000000000001
10265,6347.58,S,GROCERY,9.600000000000001,36,41.44,87.03999999999999,Yes,Yes,41.44,9.600000000000001
10265,6347.58,S,GROCERY,9.600000000000001,36,41.44,87.03999999999999,Yes,Yes,41.44,9.600000000000001
10265,6347.58,S,GROCERY,9.600000000000001,36,41.44,87.03999999999999,Yes,Yes,41.44,9.600000000000001
10265,6347.58,S,GROCERY,9.600000000000001,36,41.44,87.03999999999999,Yes,Yes,41.44,9.600000000000001
10265,6347.58,S,GROCERY,9.600000000000001,36,41.44,87.03999999999999,Yes,Yes,41.44,9.600000000000001
10271,363.91,S,AUTO,0,2,1.44,3.44,Yes,No,1.44,
10271,363.91,S,AUTO,0,2,1.44,3.44,Yes,No,1.44,
10289,743.93,S,HOME IMPRO,0,4,9.44,13.44,Yes,No,9.44,
10289,743.93,S,HOME IMPRO,0,4,9.44,13.44,Yes,No,9.44,
10289,743.93,S,HOME IMPRO,0,4,9.44,13.44,Yes,No,9.44,
10295,363.91,S,RETAIL,0,2,0,2,No,No,,
10301,171.28,S,POSTOFFICE,0,0.48,0.96,1.44,Yes,No,0.96,
10301,171.28,S,POSTOFFICE,0,0.48,0.96,1.44,Yes,No,0.96,
10301,171.28,S,POSTOFFICE,0,0.48,0.96,1.44,Yes,No,0.96,
10302,1780.67,S,PARK,0,8,4,12,Yes,No,4,
10302,1780.67,S,PARK,0,8,4,12,Yes,No,4,
10303,668.93,S,UTILITY,0,4,1.44,5.4399999999999995,Yes,No,1.44,
10303,668.93,S,UTILITY,0,4,1.44,5.4399999999999995,Yes,No,1.44,
10304,1358.97,S,PARK,0.8,0,3.84,4.64,Yes,Yes,3.84,0.8
10304,1358.97,S,PARK,0.8,0,3.84,4.64,Yes,Yes,3.84,0.8
10304,1358.97,S,PARK,0.8,0,3.84,4.64,Yes,Yes,3.84,0.8
10317,505.47,S,AUTO,0.96,0,0.96,1.92,Yes,Yes,0.96,0.96
10317,505.47,S,AUTO,0.96,0,0.96,1.92,Yes,Yes,0.96,0.96
10317,505.47,S,AUTO,0.96,0,0.96,1.92,Yes,Yes,0.96,0.96
10318,668.93,S,UTILITY,0,4,0,4,No,No,,
10321,743.93,S,AUTO,0,0,4,4,Yes,No,4,
10323,1843.37,S,MULTIFAMIL,5.279999999999999,9.76,0,15.04,No,Yes,,5.279999999999999
10323,1843.37,S,MULTIFAMIL,5.279999999999999,9.76,0,15.04,No,Yes,,5.279999999999999
10323,1843.37,S,MULTIFAMIL,5.279999999999999,9.76,0,15.04,No,Yes,,5.279999999999999
10325,97.87,S,COMMUNITY,0.48,0,0,0.48,No,Yes,,0.48
10327,97.87,S,VINEYARD,0,0.48,0.48,0.96,Yes,No,0.48,
10327,97.87,S,VINEYARD,0,0.48,0.48,0.96,Yes,No,0.48,
10328,1500.79,S,BAKERY,2.88,8,8.96,19.84,Yes,Yes,8.96,2.88
10328,1500.79,S,BAKERY,2.88,8,8.96,19.84,Yes,Yes,8.96,2.88
10328,1500.79,S,BAKERY,2.88,8,8.96,19.84,Yes,Yes,8.96,2.88
10328,1500.79,S,BAKERY,2.88,8,8.96,19.84,Yes,Yes,8.96,2.88
10328,1500.79,S,BAKERY,2.88,8,8.96,19.84,Yes,Yes,8.96,2.88
10333,195.75,S,MULTIFAMIL,0.48,0.32,0.48,1.28,Yes,Yes,0.48,0.48
