cust,monthly_bill,tax_body,biz_type,compost,garbage,recycle,total_yards,needed_recycle,needed_compost
10139,1511.27,S,STRIP MALL,0.48,8,3.36,11.84,3.36,0.48
10139,1511.27,S,STRIP MALL,0.48,8,3.36,11.84,3.36,0.48
10139,1511.27,S,STRIP MALL,0.48,8,3.36,11.84,3.36,0.48
10144,608.04,C,MULTIFAMIL,1.44,2.88,2.88,7.2,2.88,1.44
10144,608.04,C,MULTIFAMIL,1.44,2.88,2.88,7.2,2.88,1.44
10144,608.04,C,MULTIFAMIL,1.44,2.88,2.88,7.2,2.88,1.44
10144,608.04,C,MULTIFAMIL,1.44,2.88,2.88,7.2,2.88,1.44
10144,608.04,C,MULTIFAMIL,1.44,2.88,2.88,7.2,2.88,1.44
10145,6451.98,C,MOBILEHOME,89.28,30.560000000000002,86.4,206.24,86.4,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.560000000000002,86.4,206.24,86.4,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.560000000000002,86.4,206.24,86.4,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.560000000000002,86.4,206.24,86.4,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.560000000000002,86.4,206.24,86.4,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.560000000000002,86.4,206.24,86.4,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.560000000000002,86.4,206.24,86.4,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.560000000000002,86.4,206.24,86.4,89.28
10145,6451.98,C,MOBILEHOME,89.28,30.560000000000002,86.4,206.24,86.4,89.28
10154,2398.21,C,LODGING,0.48,36,1.44,37.919999999999995,1.44,0.48
10154,2398.21,C,LODGING,0.48,36,1.44,37.919999999999995,1.44,0.48
10154,2398.21,C,LODGING,0.48,36,1.44,37.919999999999995,1.44,0.48
10154,2398.21,C,LODGING,0.48,36,1.44,37.919999999999995,1.44,0.48
10154,2398.21,C,LODGING,0.48,36,1.44,37.919999999999995,1.44,0.48
10209,255.93,C,POSTOFFICE,0.48,0.48,1.44,2.4,1.44,0.48
10209,255.93,C,POSTOFFICE,0.48,0.48,1.44,2.4,1.44,0.48
10209,255.93,C,POSTOFFICE,0.48,0.48,1.44,2.4,1.44,0.48
10209,255.93,C,POSTOFFICE,0.48,0.48,1.44,2.4,1.44,0.48
10224,882.9,C,LODGING,0.96,8,1.44,10.4,1.44,0.96
10224,882.9,C,LODGING,0.96,8,1.44,10.4,1.44,0.96
10224,882.9,C,LODGING,0.96,8,1.44,10.4,1.44,0.96
10224,882.9,C,LODGING,0.96,8,1.44,10.4,1.44,0.96
10224,882.9,C,LODGING,0.96,8,1.44,10.4,1.44,0.96
10224,882.9,C,LODGING,0.96,8,1.44,10.4,1.44,0.96
10224,882.9,C,LODGING,0.96,8,1.44,10.4,1.44,0.96
10227,69.28,C,MEDICAL,0.48,0.32,0.48,1.28,0.48,0.48
10227,69.28,C,MEDICAL,0.48,0.32,0.48,1.28,0.48,0.48
10227,69.28,C,MEDICAL,0.48,0.32,0.48,1.28,0.48,0.48
10233,4931.88,C,MOBILEHOME,1.44,23.36,70.08,94.88,70.08,1.44
10233,4931.88,C,MOBILEHOME,1.44,23.36,70.08,94.88,70.08,1.44
10233,4931.88,C,MOBILEHOME,1.44,23.36,70.08,94.88,70.08,1.44
10247,3008.71,C,GROCERY,14.400000000000002,60,4.96,79.36,4.96,14.400000000000002
10247,3008.71,C,GROCERY,14.400000000000002,60,4.96,79.36,4.96,14.400000000000002
10247,3008.71,C,GROCERY,14.400000000000002,60,4.96,79.36,4.96,14.400000000000002
10247,3008.71,C,GROCERY,14.400000000000002,60,4.96,79.36,4.96,14.400000000000002
10247,3008.71,C,GROCERY,14.400000000000002,60,4.96,79.36,4.96,14.400000000000002
10247,3008.71,C,GROCERY,14.400000000000002,60,4.96,79.36,4.96,14.400000000000002
10247,3008.71,C,GROCERY,14.400000000000002,60,4.96,79.36,4.96,14.400000000000002
10247,3008.71,C,GROCERY,14.400000000000002,60,4.96,79.36,4.96,14.400000000000002
10247,3008.71,C,GROCERY,14.400000000000002,60,4.96,79.36,4.96,14.400000000000002
10247,3008.71,C,GROCERY,14.400000000000002,60,4.96,79.36,4.96,14.400000000000002
10247,3008.71,C,GROCERY,14.400000000000002,60,4.96,79.36,4.96,14.400000000000002
10250,2035.83,S,LODGING-FW,1.44,36,2.4,39.839999999999996,2.4,1.44
10250,2035.83,S,LODGING-FW,1.44,36,2.4,39.839999999999996,2.4,1.44
10250,2035.83,S,LODGING-FW,1.44,36,2.4,39.839999999999996,2.4,1.44
