cust,monthly_bill,cycle,qty,size,commodity,pickups,bin_amount,tax_body,biz_type
11570,269.13,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
11607,284.84,CA,2,0.48,Garbage,1,142.42,Y,FOURPLEX
11607,284.84,CA,1,0.48,Recycle,1,0,Y,FOURPLEX
11607,284.84,CA,1,0.48,Recycle,1,0,Y,FOURPLEX
11607,284.84,CA,1,0.48,Compost,1,0,Y,FOURPLEX
11643,617.13,CA,1,2,Garbage,1,482.56,COUNTY,OFFICE BLD
11643,617.13,CA,1,0.48,Garbage,1,134.57,COUNTY,OFFICE BLD
11643,617.13,CA,1,0.48,Recycle,1,0,COUNTY,OFFICE BLD
11643,617.13,CA,1,0.48,Compost,1,0,COUNTY,OFFICE BLD
11664,2116.06,CA,1,6,Garbage,1,1298.25,COUNTY,WINERY
11664,2116.06,CA,1,4,Recycle,1,667.81,COUNTY,WINERY
11664,2116.06,CA,1,4,Recycle,1,75,COUNTY,WINERY
11664,2116.06,CA,1,4,Recycle,3,75,COUNTY,WINERY
11664,2116.06,CA,1,4,Recycle,3,75,COUNTY,WINERY
11664,2116.06,CA,1,4,Recycle,3,75,COUNTY,WINERY
11689,32.62,CA,1,0.16,Garbage,1,32.62,S,OFFICE BLD
11689,32.62,CA,1,0.48,Recycle,1,0,S,OFFICE BLD
11723,1040.4,CA,1,2,"",0,0,COUNTY,WINERY
11723,1040.4,CA,1,4,Garbage,1,890.4,COUNTY,WINERY
11723,1040.4,CA,1,4,Recycle,1,75,COUNTY,WINERY
11723,1040.4,CA,1,4,Recycle,1,75,COUNTY,WINERY
11728,134.57,CA,1,0.48,Garbage,1,134.57,COUNTY,OFFICE BLD
11728,134.57,CA,1,0.48,Recycle,1,0,COUNTY,OFFICE BLD
11731,130.5,CA,1,0.32,Garbage,2,130.5,S,RETAIL
11731,130.5,CA,1,0.32,Garbage,2,130.5,S,RETAIL
11731,130.5,CA,1,0.48,Recycle,1,0,S,RETAIL
11739,1121.14,CA,1,4,Garbage,1,1121.14,COUNTY,VINEYARD
11750,195.74,CA,2,0.48,Compost,1,0,S,CHURCH
11750,195.74,CA,2,0.48,Recycle,1,0,S,CHURCH
11750,195.74,CA,2,0.48,Garbage,1,97.87,S,CHURCH
11760,4606.93,CA,3,6,Garbage,1,1188.51,C,LODGING
11760,4606.93,CA,1,6,Recycle,1,891.4,C,LODGING
11760,4606.93,CA,2,6,Recycle,2,75,C,LODGING
11760,4606.93,CA,2,6,Recycle,2,75,C,LODGING
11766,3884.06,CA,1,4,Recycle,2,1172.3,C,RESTAURANT
11766,3884.06,CA,1,4,Recycle,2,1172.3,C,RESTAURANT
11766,3884.06,CA,1,4,Garbage,3,3372.39,C,RESTAURANT
11766,3884.06,CA,1,4,Garbage,3,3372.39,C,RESTAURANT
11766,3884.06,CA,1,4,Garbage,3,3372.39,C,RESTAURANT
11766,3884.06,CA,1,4,Recycle,3,75,C,RESTAURANT
11766,3884.06,CA,1,4,Recycle,3,75,C,RESTAURANT
11766,3884.06,CA,1,4,Recycle,3,75,C,RESTAURANT
11788,1158.56,CA,1,6,Garbage,1,1158.56,C,MULTIFAMIL
11788,1158.56,CA,1,0.48,Recycle,1,0,C,MULTIFAMIL
11788,1158.56,CA,1,0.48,Recycle,1,0,C,MULTIFAMIL
11788,1158.56,CA,1,0.48,Recycle,1,0,C,MULTIFAMIL
11788,1158.56,CA,1,0.48,Compost,1,0,C,MULTIFAMIL
11806,793.4,CA,1,4,Garbage,1,793.4,C,MULTIFAMIL
11807,557.56,CA,2,0.48,Recycle,1,0,COUNTY,WINERY
11807,557.56,CA,1,2,Garbage,1,482.56,COUNTY,WINERY
11807,557.56,CA,1,4,Recycle,1,75,COUNTY,WINERY
11808,97.87,CA,1,0.48,Garbage,1,97.87,S,OFFICE BLD
11808,97.87,CA,1,0.48,Recycle,1,0,S,OFFICE BLD
11841,1522.1,CA,1,4,Garbage,1,1447.1,COUNTY,WINERY
11841,1522.1,CA,1,TR,"",1,75,COUNTY,WINERY
11841,1522.1,CA,1,4,"",1,0,COUNTY,WINERY
11850,195.74,CA,2,0.48,Garbage,1,97.87,S,CHURCH
11850,195.74,CA,1,0.48,Compost,1,0,S,CHURCH
11850,195.74,CA,1,0.48,Recycle,1,0,S,CHURCH
11852,32.62,CA,1,0.16,Garbage,1,32.62,S,MULTIFAMIL
11852,32.62,CA,1,0.48,Recycle,1,0,S,MULTIFAMIL
11852,32.62,CA,1,0.48,Compost,1,0,S,MULTIFAMIL
11861,1150.37,CA,1,2,Garbage,1,482.56,COUNTY,WINERY
11861,1150.37,CA,1,4,Recycle,1,667.81,COUNTY,WINERY
11861,1150.37,CA,1,0.48,Compost,1,0,COUNTY,WINERY
11870,97.87,CA,1,0.48,Garbage,1,97.87,S,WINERY
11870,97.87,CA,1,0.48,Recycle,1,0,S,WINERY
11890,97.87,CA,1,0.48,Garbage,1,97.87,S,RETAIL
11890,97.87,CA,1,0.48,Recycle,1,0,S,RETAIL
11911,318.1,CA,1,0.48,Recycle,1,0,S,RESTAURANT
11911,318.1,CA,1,0.48,Recycle,1,73.41,S,RESTAURANT
11911,318.1,CA,1,0.48,Garbage,1,97.87,S,RESTAURANT
11911,318.1,CA,1,0.48,Recycle,1,73.41,S,RESTAURANT
11911,318.1,CA,1,0.48,Recycle,1,73.41,S,RESTAURANT
11911,318.1,CA,2,0.32,Compost,3,0,S,RESTAURANT
11911,318.1,CA,2,0.32,Compost,3,0,S,RESTAURANT
11911,318.1,CA,2,0.32,Compost,3,0,S,RESTAURANT
11920,2596.5,CA,1,6,Garbage,1,1298.25,COUNTY,MEDICAL
11920,2596.5,CA,1,6,Garbage,1,1298.25,COUNTY,MEDICAL
11920,2596.5,CA,1,0.48,Recycle,1,0,COUNTY,MEDICAL
11920,2596.5,CA,1,0.48,Recycle,1,0,COUNTY,MEDICAL
11920,2596.5,CA,1,0.48,Recycle,1,0,COUNTY,MEDICAL
11920,2596.5,CA,1,0.48,Recycle,1,0,COUNTY,MEDICAL
